Date,Confirmed
0-07-01,604641
0-07-02,625544
0-07-03,648315
0-07-04,673165
0-07-05,697413
0-07-06,719664
0-07-07,742417
0-07-08,767296
0-07-09,793802
0-07-10,820916
0-07-11,849522
0-07-12,878254
0-07-13,906752
0-07-14,936181
0-07-15,968857
0-07-16,1003832
0-07-17,1039084
0-07-18,1077781
0-07-19,1118206
0-07-20,1155338
0-07-21,1193078
0-07-22,1238798
0-07-23,1288108
0-07-24,1337024
0-07-25,1385635
0-07-26,1435616
0-07-27,1480073
0-07-28,1531669
0-07-29,1581963
0-07-30,1634746
0-07-31,1695988
0-08-01,1750723
0-08-02,1803695
0-08-03,1855745
0-08-04,1908254
0-08-05,1964536
0-08-06,2027074
0-08-07,2088611
0-08-08,2153010
0-08-09,2215074
0-08-10,2268675
0-08-11,2329638
0-08-12,2396637
0-08-13,2461190
0-08-14,2525922
0-08-15,2589952
0-08-16,2647663
0-08-17,2702681
0-08-18,2767253
0-08-19,2836925
0-08-20,2905825
0-08-21,2975701
0-08-22,3044940
0-08-23,3106348
0-08-24,3167323
0-08-25,3224547
0-08-26,3310234
0-08-27,3387500
0-08-28,3463972
0-08-29,3542733
0-08-30,3621245
0-08-31,3691166
0-09-01,3769523
0-09-02,3853406
0-09-03,3936747
0-09-04,4023179
0-09-05,4113811
0-09-06,4204613
0-09-07,4280422
0-09-08,4370128
0-09-09,4465863
0-09-10,4562414
0-09-11,4659984
0-09-12,4754356
0-09-13,4846427
0-09-14,4930236
0-09-15,5020359
0-09-16,5118253
0-09-17,5214677
0-09-18,5308014
0-09-19,5400619
0-09-20,5487580
0-09-21,5562663
0-09-22,5646010
0-09-23,5732518
0-09-24,5818570
0-09-25,5903932
0-09-26,5992532
0-09-27,6074702
0-09-28,6145291
0-09-29,6225763
0-09-30,6312584
0-10-01,6394068
0-10-02,6473544
0-10-03,6549373
0-10-04,6623815
0-10-05,6685082
0-10-06,6757131
0-10-07,6835655
0-10-08,6906151
0-10-09,6979423
0-10-10,7053806
0-10-11,7120538
0-10-12,7175880
0-10-13,7239389
0-10-14,7307097
0-10-15,7370468
0-10-16,7432680
0-10-17,7494551
0-10-18,7550273
0-10-19,7597063
0-10-20,7651107
0-10-21,7706946
0-10-22,7761312
0-10-23,7814682
0-10-24,7864811
0-10-25,7909959
0-10-26,7946429
0-10-27,7990322
0-10-28,8040203
0-10-29,8088851
0-10-30,8137119
0-10-31,8184082
0-11-01,8229313
0-11-02,8267623
0-11-03,8313876
0-11-04,8364086
0-11-05,8411724
0-11-06,8462080
0-11-07,8507754
0-11-08,8553657
0-11-09,8591730
0-11-10,8636011
0-11-11,8683916
0-11-12,8728795
0-11-13,8773479
0-11-14,8814579
0-11-15,8845127
0-11-16,8874290
0-11-17,8912907
0-11-18,8958483
0-11-19,9004365
0-11-20,9050597
0-11-21,9095806
0-11-22,9139865
0-11-23,9177840
0-11-24,9222216
0-11-25,9266705
0-11-26,9309787
0-11-27,9351109
0-11-28,9392919
0-11-29,9431691
0-11-30,9462809
0-12-01,9499413
0-12-02,9534964
0-12-03,9571559
0-12-04,9608211
0-12-05,9644222
0-12-06,9677203
0-12-07,9703770
0-12-08,9735850
0-12-09,9767371
0-12-10,9796744
0-12-11,9826775
0-12-12,9857029
0-12-13,9884100
0-12-14,9906165
0-12-15,9932547
0-12-16,9956557
0-12-17,9979447
0-12-18,10004599
0-12-19,10031223
0-12-20,10055560
0-12-21,10075116
0-12-22,10099066
0-12-23,10123778
0-12-24,10146845
0-12-25,10169118
0-12-26,10187850
0-12-27,10207871
0-12-28,10224303
0-12-29,10244852
0-12-30,10266674
0-12-31,10266674
1-01-01,10286709
1-01-02,10323965
1-01-03,10340469
1-01-04,10356844
1-01-05,10374932
1-01-06,10395278
1-01-07,10413417
1-01-08,10413417
1-01-09,10450284
1-01-10,10466595
1-01-11,10479179
1-01-12,10495147
1-01-13,10512093
1-01-14,10527683
1-01-15,10542841
1-01-16,10557985
1-01-17,10571773
1-01-18,10581823
1-01-19,10595639
1-01-20,10610883
1-01-21,10625428
1-01-22,10639684
1-01-23,10654533
1-01-24,10667736
1-01-25,10676838
1-01-26,10689527
1-01-27,10701193
1-01-28,10720048
1-01-29,10733130
1-01-30,10746174
1-01-31,10757610
1-02-01,10766245
1-02-02,10777284
1-02-03,10790183
1-02-04,10802591
1-02-05,10814304
1-02-06,10826363
1-02-07,10838194
1-02-08,10847304
1-02-09,10858371
1-02-10,10871294
1-02-11,10880603
1-02-12,10892746
1-02-13,10904940
1-02-14,10916589
1-02-15,10925710
1-02-16,10937320
1-02-17,10950201
1-02-18,10963394
1-02-19,10977387
1-02-20,10991651
1-02-21,11005850
1-02-22,11016434
1-02-23,11030176
1-02-24,11046914
1-02-25,11063491
1-02-26,11079979
1-02-27,11096731
1-02-28,11112241
1-03-01,11124527
1-03-02,11139516
1-03-03,11156923
1-03-04,11173761
1-03-05,11192045
1-03-06,11210799
1-03-07,11229398
1-03-08,11244786
1-03-09,11262707
1-03-10,11285561
1-03-11,11308846
1-03-12,11333728
1-03-13,11359048
1-03-14,11385339
1-03-15,11409831
1-03-16,11438734
1-03-17,11474605
1-03-18,11514331
1-03-19,11555284
1-03-20,11599130
1-03-21,11646081
1-03-22,11686796
1-03-23,11734058
1-03-24,11787534
1-03-25,11846652
1-03-26,11908910
1-03-27,11971624
1-03-28,12039644
1-03-29,12095855
1-03-30,12149335
1-03-31,12221665
1-04-01,12303131
1-04-02,12392260
1-04-03,12485509
1-04-04,12589067
1-04-05,12686049
1-04-06,12801785
1-04-07,12928574
1-04-08,13060542
1-04-09,13205926
1-04-10,13358805
1-04-11,13527717
1-04-12,13689453
1-04-13,13873825
1-04-14,14074564
1-04-15,14291917
1-04-16,14526609
1-04-17,14788003
1-04-18,15061805
1-04-19,15320972
1-04-20,15616130
1-04-21,15930774
1-04-22,16263695
1-04-23,16610481
1-04-24,16960172
1-04-25,17313163
1-04-26,17636186
1-04-27,17997113
1-04-28,18376421
1-04-29,18762976
1-04-30,19164969
1-05-01,19557457
1-05-02,19925517
1-05-03,20282833
1-05-04,20664979
1-05-05,21077410
1-05-06,21491598
1-05-07,21892676
1-05-08,22296081
1-05-09,22662575
1-05-10,22992517
1-05-11,23340938
1-05-12,23703665
1-05-13,24046809
1-05-14,24372907
1-05-15,24684077
1-05-16,24965463
1-05-17,25228996
1-05-18,25496330
1-05-19,25772440
1-05-20,26031991
1-05-21,26289290
1-05-22,26530132
1-05-23,26752447
1-05-24,26948874
1-05-25,27157795
1-05-26,27369093
1-05-27,27555457
1-05-28,27729247
1-05-29,27894800
1-05-30,28047534
1-05-31,28175044
